"filename", "language", "TypeScript", "Markdown", "JSON", "JSON with Comments", "JavaScript", "TypeScript JSX", "SCSS", "comment", "blank", "total"
"k:\cross-platform-music-player-app\apps\desktop\src\tests\domain\PlaybackIterator.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 88, 0, 13, 24, 125
"k:\cross-platform-music-player-app\apps\desktop\src\tests\infrastructure\repositories\ElectronLibraryRepository.test.ts", "TypeScript", 209, 0, 0, 0, 0, 0, 0, 2, 40, 251
"k:\cross-platform-music-player-app\apps\desktop\src\tests\infrastructure\services\ElectronStorageAdapter.test.ts", "TypeScript", 123, 0, 0, 0, 0, 0, 0, 1, 28, 152
"k:\cross-platform-music-player-app\apps\desktop\src\tests\presentations\components\DuplicateResolutionModal\DuplicateResolutionModal.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 114, 0, -11, 0, 103
"k:\cross-platform-music-player-app\apps\desktop\src\tests\presentations\components\GlobalDragDrop\GlobalDragDrop.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 142, 0, 1, 42, 185
"k:\cross-platform-music-player-app\apps\desktop\src\tests\presentations\components\Header\SearchOverlay.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 197, 0, 8, 41, 246
"k:\cross-platform-music-player-app\apps\desktop\src\tests\presentations\components\Layout\MainLayout.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 159, 0, 3, 40, 202
"k:\cross-platform-music-player-app\apps\desktop\src\tests\presentations\components\PlayerBar\PlayerBar.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"k:\cross-platform-music-player-app\apps\desktop\src\tests\presentations\components\PlayerBar\QueuePanel.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 203, 0, 17, 41, 261
"k:\cross-platform-music-player-app\apps\desktop\src\tests\presentations\components\SongPickerModal\SongPickerModal.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 133, 0, 9, 38, 180
"k:\cross-platform-music-player-app\apps\desktop\src\tests\presentations\components\Theme\ThemeProvider.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 93, 0, 1, 23, 117
"k:\cross-platform-music-player-app\apps\desktop\src\tests\presentations\components\Tooltip\SmartTooltip.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 92, 0, 6, 28, 126
"k:\cross-platform-music-player-app\apps\desktop\src\tests\presentations\components\UpdateNotification\UpdateNotification.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 105, 0, 6, 32, 143
"k:\cross-platform-music-player-app\apps\desktop\src\tests\presentations\pages\SettingsPage\sections\AudioSection.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 88, 0, 3, 22, 113
"k:\cross-platform-music-player-app\apps\desktop\src\tests\presentations\pages\SettingsPage\sections\DownloadSection\DownloadSection.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 218, 0, 0, 33, 251
"k:\cross-platform-music-player-app\apps\desktop\src\tests\presentations\pages\SettingsPage\sections\DownloadSection\components\DownloaderTool.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 247, 0, 3, 41, 291
"k:\cross-platform-music-player-app\apps\desktop\src\tests\presentations\pages\SettingsPage\sections\GeneralSection.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 133, 0, -2, 30, 161
"k:\cross-platform-music-player-app\apps\desktop\src\vite-env.d.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 0, 0, -1, 1
"k:\cross-platform-music-player-app\apps\desktop\vite.config.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 8
"k:\cross-platform-music-player-app\apps\mobile\src\app\(tabs)\playlists.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -11, 0, 0, 3, -8
"k:\cross-platform-music-player-app\apps\mobile\src\app\now-playing.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 36, 0, 1, 2, 39
"k:\cross-platform-music-player-app\apps\mobile\src\app\playlist\[id].tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -16, 0, 13, -1, -4
"k:\cross-platform-music-player-app\apps\mobile\src\application\library\LibraryProvider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 28, 0, 0, 4, 32
"k:\cross-platform-music-player-app\apps\mobile\src\application\player\PlayerProvider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 8, 0, 0, 1, 9
"k:\cross-platform-music-player-app\apps\mobile\src\presentations\components\PlaylistActions.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 71, 0, 2, 5, 78
"k:\cross-platform-music-player-app\apps\mobile\src\presentations\components\PlaylistRow.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 6, 0, 0, 0, 6
"k:\cross-platform-music-player-app\apps\mobile\src\presentations\components\SongActions.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 224, 0, 7, 17, 248
"k:\cross-platform-music-player-app\apps\mobile\src\presentations\components\TopBar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"k:\cross-platform-music-player-app\apps\mobile\src\presentations\player\PlayerBar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -1, 0, 1, 0, 0
"k:\cross-platform-music-player-app\apps\mobile\src\presentations\player\QueueModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 25, 0, 3, 2, 30
"k:\cross-platform-music-player-app\docs\Bao_Cao_MVP_Draft.md", "Markdown", 0, -54, 0, 0, 0, 0, 0, 0, -20, -74
