"filename", "language", "JavaScript", "JSON", "JSON with Comments", "Markdown", "YAML", "TypeScript", "TypeScript JSX", "Ignore", "SCSS", "XML", "HTML", "Batch", "CSS", "comment", "blank", "total"
"k:\cross-platform-music-player-app\apps\desktop\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 3, 25
"k:\cross-platform-music-player-app\apps\desktop\src\application\context\HotkeysContext.ts", "TypeScript", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"k:\cross-platform-music-player-app\apps\desktop\src\application\context\HotkeysProvider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 2, 16
"k:\cross-platform-music-player-app\apps\desktop\src\application\hooks\DownloadContext.ts", "TypeScript", 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 4, 10, 51
"k:\cross-platform-music-player-app\apps\desktop\src\application\hooks\SettingsContext.ts", "TypeScript", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"k:\cross-platform-music-player-app\apps\desktop\src\application\hooks\index.ts", "TypeScript", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"k:\cross-platform-music-player-app\apps\desktop\src\application\hooks\useClusteredSearch.ts", "TypeScript", 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 2, 7, 49
"k:\cross-platform-music-player-app\apps\desktop\src\application\hooks\useDebounce.ts", "TypeScript", 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 1, 6, 29
"k:\cross-platform-music-player-app\apps\desktop\src\application\hooks\useDownload.ts", "TypeScript", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"k:\cross-platform-music-player-app\apps\desktop\src\application\hooks\useGlobalHotkeys.ts", "TypeScript", 0, 0, 0, 0, 0, 182, 0, 0, 0, 0, 0, 0, 0, 2, 22, 206
"k:\cross-platform-music-player-app\apps\desktop\src\application\hooks\useLanguage.ts", "TypeScript", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"k:\cross-platform-music-player-app\apps\desktop\src\application\hooks\useLibrary.ts", "TypeScript", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7
"k:\cross-platform-music-player-app\apps\desktop\src\application\hooks\useLocalFilter.ts", "TypeScript", 0, 0, 0, 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 4, 15, 89
"k:\cross-platform-music-player-app\apps\desktop\src\application\hooks\useNotification.ts", "TypeScript", 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 6, 28
"k:\cross-platform-music-player-app\apps\desktop\src\application\hooks\useRecentSearches.ts", "TypeScript", 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 5, 13, 78
"k:\cross-platform-music-player-app\apps\desktop\src\application\hooks\useSearch.ts", "TypeScript", 0, 0, 0, 0, 0, 108, 0, 0, 0, 0, 0, 0, 0, 9, 15, 132
"k:\cross-platform-music-player-app\apps\desktop\src\application\hooks\useSettings.ts", "TypeScript", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"k:\cross-platform-music-player-app\apps\desktop\src\application\hooks\useTheme.ts", "TypeScript", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"k:\cross-platform-music-player-app\apps\desktop\src\application\providers\DownloadProvider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 296, 0, 0, 0, 0, 0, 0, 6, 45, 347
"k:\cross-platform-music-player-app\apps\desktop\src\application\providers\PlayerWithLibrary.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 4, 25
"k:\cross-platform-music-player-app\apps\desktop\src\application\providers\SettingsProvider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 10, 65
"k:\cross-platform-music-player-app\apps\desktop\src\application\providers\index.ts", "TypeScript", 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"k:\cross-platform-music-player-app\apps\desktop\src\application\utils\index.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"k:\cross-platform-music-player-app\apps\desktop\src\application\utils\searchUtils.ts", "TypeScript", 0, 0, 0, 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 5, 16, 95
